,step,loss_x,loss_y,loss_x,loss_y,mean,stderr
0,200,10.688024334907531,10.226696128845214,10.525573840141297,10.53499062538147,10.493821232318878,0.19302315317904328
1,300,8.233278827667236,7.528069400787354,8.134939341545104,7.753195390701294,7.9123707401752466,0.3294151859831725
2,400,7.140404391288757,6.574085421562195,6.672062525749206,6.7791890621185305,6.791435350179673,0.2472651922574896
3,500,6.440641441345215,6.194935617446899,6.237070631980896,6.529271287918091,6.350479744672775,0.16036536392346223
4,600,6.250857801437378,10.597616662979126,6.045249147415161,6.054407830238342,7.237032860517503,2.2423956773636764
5,700,5.961642136573792,5.9660983610153195,5.868784837722778,5.967812075614929,5.941084352731705,0.04826977704512822
6,800,5.823592100143433,5.731833992004394,5.804373569488526,5.591049666404724,5.737712332010269,0.10545701734274969
7,900,5.2558893203735355,5.74107400894165,5.507866268157959,5.24369891166687,5.437132127285004,0.23639610125912056
8,1000,4.935732784271241,5.550361456871033,5.355300116539001,5.1373057508468625,5.244675027132034,0.2662427305090441
9,1100,4.373987412452697,5.397149982452393,4.71756233215332,4.979276294708252,4.866994005441666,0.43168584184778375
10,1200,3.9243965554237366,5.516599164009095,4.525700559616089,4.359851880073547,4.581637039780617,0.6729132620922702
11,1300,3.264160306453705,5.4891852855682375,4.241285209655762,3.5061961340904237,4.125206733942032,0.9997477639950662
12,1400,3.0539572286605834,5.3032963800430295,3.638150329589844,2.9996196603775025,3.74875589966774,1.0759151136759386
13,1500,2.7599782276153566,4.996949610710144,3.193188588619232,2.846365249156952,3.449120419025421,1.0487305124500252
14,1600,2.613237729072571,4.54374764919281,3.027880654335022,2.6211991453170778,3.2015162944793705,0.9155279004001182
15,1700,2.5181421732902525,4.300723650455475,2.7837070298194884,2.469049544334412,3.017905599474907,0.8663097162421066
16,1800,2.430255572795868,3.6383590793609617,2.581291217803955,3.943654522895813,3.1483900982141493,0.754946674587139
17,1900,16.621195244789124,3.2732604050636294,2.4557165837287904,2.2759255194664,6.156524438261986,6.989934985840919
18,2000,6.312228388786316,3.2005656147003174,2.3450481402873993,1.9910897529125213,3.4622329741716387,1.966664519845296
19,2100,2.8206451988220214,2.814738471508026,9.59496246099472,1.8934031677246095,4.280937324762345,3.569377848211039
