,Unnamed: 0,step,loss_x,loss_y,loss_x.1,loss_y.1,loss,mean,stderr
75,55,26500,,25151.9,,40899.9,25853.0,30634.93333333333,8896.630868105822
76,57,27500,,2454.7,,,12660.6,7557.65,7216.661098111786
77,56,27500,,4817.1,,,12660.6,8738.85,5546.192038236685
78,58,28000,,3115.8,,20018.6,,11567.2,11952.084501039972
79,59,28000,,1533.9,,20018.6,,10776.25,13070.656718198974
80,60,28500,,852.0,,,31465.4,16158.7,21646.942735176253
81,61,29000,,1341.6,16216.4,12953.2,10925.8,10359.25,6394.627253927055
82,62,29000,,291.4,16216.4,12953.2,10925.8,10096.7,6890.612823254547
83,63,29000,,111.3,16216.4,12953.2,10925.8,10051.675,6976.098033225068
84,64,29500,,4056.2,,,,4056.2,
85,65,30000,,4579.3,24737.5,18727.9,,16014.9,10349.325270760408
86,66,30500,,6551.8,8753.8,20276.6,,11860.733333333332,7371.045367743528
87,67,31500,,6269.7,18076.9,20273.3,,14873.3,7531.433659005436
88,68,31500,,1644.9,18076.9,20273.3,,13331.700000000004,10180.472185512812
89,69,32000,,2387.7,,,,2387.7,
90,70,32500,,3776.1,,13978.6,,8877.35,7214.256935055751
91,71,33000,,3178.4,25371.1,,,14274.75,15692.608662838693
92,90,33500,,,16612.9,21241.4,,18927.15,3272.843736721936
93,91,34500,,,13170.4,18369.5,,15769.95,3676.3188660669794
94,72,35000,,17295.4,,,,17295.4,
95,92,35500,,,18182.8,16813.7,,17498.25,968.0998941225012
96,73,36000,,17302.3,13358.7,,,15330.5,2788.546302287268
97,96,36500,,,,28363.7,,28363.7,
98,74,37500,,21024.8,,13808.3,,17416.55,5102.836086432721
99,97,38500,,,,21614.9,,21614.9,
100,98,39500,,,,17123.6,,17123.6,
101,99,40000,,,,16722.5,,16722.5,
102,100,42000,,,,18923.3,,18923.3,
103,101,42500,,,,16165.4,,16165.4,
104,102,44000,,,,25697.0,,25697.0,
105,103,45000,,,,21860.3,,21860.3,
106,104,46000,,,,17371.4,,17371.4,
